ID do tweet,Valor,Sentimentos
1617156291046133761,negativo,"surpresa, frustracao"
1617156332297256961,positivo,"admiracao, respeito"
1617156389217894400,positivo,felicidade e otimismo
1617156404137295878,positivo,otimismo
1617156409254375434,positivo,otimismo
1617156410634010624,positivo,felicidade e otimismo
1617156441420271618,positivo,"surpresa, felicidade"
1617156485846368257,negativo,raiva
1617156513642037249,positivo,"surpresa, felicidade"
1617156606453583877,negativo,"medo, frustração"
1617156625256644609,positivo,felicidade
1617156638120579073,negativo,medo
1617156740331732994,negativo,ansiedade
1617156746954346496,negativo,raiva
1617156768458747904,positivo,felicidade
1617156777623310339,negativo,raiva
1617156828244357122,positivo,surpresa
1617156832556126209,positivo,felicidade
1617156879385346049,negativo,desprezo
1617156884452225025,negativo,medo
1617156943726120965,positivo,felicidade
1617156982519070721,negativo,desprezo
1617156997266427905,negativo,frustracao
1617157152107364354,positivo,surpresa
1617157162400370691,negativo,"tristeza, raiva"
1617157173334646785,negativo,"raiva, desprezo"
1617157175771815936,negativo,frustracao
1617157177881272320,positivo,satisfacao
1617157186878115842,positivo,entusiasmo
1617157194721693697,negativo,"raiva, frustracao, desprezo"
1617157200975396864,positivo,"felicidade, entusiasmo"
1617157235951689728,negativo,raiva
1617157336501743616,negativo,"medo, preocupacao"
1617157351223566336,negativo,raiva
1617157356839895042,positivo,felicidade
1617157446950068225,negativo,"raiva, desprezo"
1617157464734023680,negativo,"preocupacao, medo"
1617157537417265154,negativo,raiva
1617157555364712449,negativo,medo
1617157627926163457,negativo,"tristeza, raiva"
1617157637405134850,positivo,felicidade
1617157644686434304,positivo,otimismo
1617157668610654210,positivo,felicidade
1617157711333937152,negativo,"medo, raiva"
1617157748092981251,positivo,otimismo
1617157768028487682,positivo,felicidade
1617157831949533184,positivo,felicidade
1617157887020916738,positivo,felicidade
1617157905148686337,negativo,medo
1617157959682871298,positivo,felicidade
1617157959850799104,positivo,satisfacao
1617157975424081920,negativo,medo
1617158091514187781,positivo,felicidade
1617158104327528449,positivo,felicidade
1617158105183457280,positivo,felicidade
1617158191430656002,positivo,satisfacao
1617158272250949633,negativo,"raiva, frustracao"
1617158301950824448,negativo,raiva
1617158324541165568,negativo,desprezo
1617158355541164032,negativo,"medo, preocupacao"
1617158385828515841,positivo,felicidade
1617158391608086530,negativo,preocupacao
1617158507802812418,negativo,raiva
1617158512177463297,positivo,felicidade
1617158537125433346,negativo,tristeza
1617158548605251587,positivo,felicidade
1617158592221810688,positivo,otimismo
1617158669510103041,negativo,frustracao
1617158709779603458,negativo,medo
1617158759196901378,positivo,felicidade
1617158759545020416,negativo,raiva
1617158841875013632,positivo,felicidade
1617158942420869120,positivo,felicidade
1617158952164249600,negativo,tristeza
1617158965686636545,negativo,tristeza
1617159016328880129,positivo,felicidade
1617159058234175494,negativo,raiva
1617159110432292865,positivo,"felicidade, satisfacao"
1617159158209413123,positivo,felicidade
1617159450980241408,positivo,felicidade
1617159472354582528,positivo,otimismo
1617159481795969024,positivo,otimismo
1617159510464040961,negativo,tristeza
1617159538859474948,positivo,felicidade
1617159590356869120,positivo,felicidade
1617159625228288001,negativo,raiva
1617159625891012608,positivo,"felicidade, otimismo"
1617159674708754434,positivo,felicidade
1617159774008639488,positivo,felicidade
1617159822700609536,negativo,desprezo
1617159855592312832,negativo,raiva
1617159919605805059,negativo,medo
1617160099868602368,positivo,felicidade
1617160163743436801,negativo,preocupacao
1617160166826287106,positivo,felicidade
1617160167245877248,negativo,medo
1617160170278117384,positivo,surpresa
1617160191568498689,negativo,tristeza
1617160250305712130,positivo,surpresa
1617160296484700161,positivo,"felicidade, otimismo, satisfacao"
